transaction_id,timestamp,account_id,user_id,amount,transaction_type,merchant,card_number,location,status,description,risk_score,day_of_week,hour,is_weekend
TXN00000296,2024-01-15 00:28:17,ACC000148,USER0392,155.84,withdrawal,Pharmacy,****2442,"Chicago, IL",success,Normal payment transaction,0.19,Monday,0,False
TXN00000143,2024-01-15 03:33:09,ACC000182,USER0116,36.58,deposit,CVS Pharmacy,****2292,"Phoenix, AZ",success,Normal withdrawal transaction,0.23,Monday,3,False
TXN00000180,2024-01-15 04:32:18,ACC000148,USER0164,183.7,payment,Bank ATM,****4881,"Phoenix, AZ",success,Normal withdrawal transaction,0.3,Monday,4,False
TXN00000905,2024-01-15 07:14:05,ACC000192,USER0386,49.29,payment,Walmart,****1244,"Jacksonville, FL",success,Normal withdrawal transaction,0.26,Monday,7,False
TXN00000021,2024-01-15 18:47:34,ACC000013,USER0300,66.15,transfer,Shell Gas,****1931,"Dallas, TX",success,Normal purchase transaction,0.27,Monday,18,False
TXN00000597,2024-01-15 23:04:35,ACC000046,USER0123,519.09,transfer,Target,****1336,"Houston, TX",success,Normal withdrawal transaction,0.18,Monday,23,False
TXN00000901,2024-01-16 04:13:35,ACC000016,USER0121,805.88,transfer,Target,****1579,"Philadelphia, PA",success,Normal purchase transaction,0.29,Tuesday,4,False
FRAUD_AMT_00021,2024-01-16 09:51:00,FRAUD_AMT_002,FRAUD_USER_024,420042.09,withdrawal,Unknown Merchant,****8021,"Las Vegas, NV",success,Unusual high-value transaction,0.73,Tuesday,9,False
TXN00000491,2024-01-16 12:24:21,ACC000046,USER0226,850.24,purchase,Pharmacy,****4287,"San Jose, CA",success,Normal transfer transaction,0.14,Tuesday,12,False
TXN00000238,2024-01-16 12:32:18,ACC000107,USER0217,102.7,transfer,Target,****9791,"Dallas, TX",success,Normal payment transaction,0.13,Tuesday,12,False
TXN00000660,2024-01-16 14:03:19,ACC000027,USER0347,89.21,purchase,Walmart,****5831,"San Antonio, TX",success,Normal transfer transaction,0.12,Tuesday,14,False
TXN00000158,2024-01-16 22:08:33,ACC000170,USER0245,68.38,payment,Restaurant,****6140,"Chicago, IL",success,Normal transfer transaction,0.28,Tuesday,22,False
TXN00000919,2024-01-16 22:16:16,ACC000091,USER0277,169.76,purchase,Best Buy,****6729,"Los Angeles, CA",success,Normal purchase transaction,0.2,Tuesday,22,False
TXN00000699,2024-01-17 07:56:06,ACC000043,USER0023,334.31,transfer,Starbucks,****6359,"Philadelphia, PA",success,Normal payment transaction,0.23,Wednesday,7,False
TXN00000386,2024-01-17 15:35:03,ACC000196,USER0043,82.42,purchase,Home Depot,****3544,"Los Angeles, CA",success,Normal transfer transaction,0.16,Wednesday,15,False
TXN00000131,2024-01-17 22:49:29,ACC000052,USER0454,44.31,purchase,Bank ATM,****6080,"Dallas, TX",success,Normal transfer transaction,0.3,Wednesday,22,False
TXN00000179,2024-01-18 03:38:02,ACC000013,USER0126,136.04,purchase,Restaurant,****8191,"Houston, TX",success,Normal payment transaction,0.14,Thursday,3,False
TXN00000268,2024-01-18 11:16:50,ACC000099,USER0225,5.25,transfer,Shell Gas,****7783,"San Diego, CA",success,Normal transfer transaction,0.17,Thursday,11,False
TXN00000246,2024-01-18 14:55:18,ACC000117,USER0005,269.11,deposit,Grocery Store,****5777,"San Jose, CA",success,Normal deposit transaction,0.25,Thursday,14,False
TXN00000779,2024-01-18 15:26:33,ACC000154,USER0141,217.5,withdrawal,CVS Pharmacy,****1744,"San Jose, CA",success,Normal purchase transaction,0.26,Thursday,15,False
TXN00000022,2024-01-18 19:04:43,ACC000146,USER0127,953.28,payment,Walmart,****2343,"San Antonio, TX",success,Normal payment transaction,0.21,Thursday,19,False
TXN00000538,2024-01-18 19:47:23,ACC000067,USER0322,115.29,transfer,Starbucks,****7114,"Dallas, TX",success,Normal payment transaction,0.1,Thursday,19,False
TXN00000499,2024-01-19 01:47:09,ACC000159,USER0024,8.72,withdrawal,McDonald's,****1235,"Chicago, IL",success,Normal purchase transaction,0.28,Friday,1,False
TXN00000384,2024-01-19 02:10:21,ACC000075,USER0364,66.79,deposit,Restaurant,****5444,"San Diego, CA",success,Normal deposit transaction,0.25,Friday,2,False
TXN00000846,2024-01-19 06:42:23,ACC000032,USER0005,157.01,deposit,Amazon,****6388,"Houston, TX",success,Normal transfer transaction,0.21,Friday,6,False
TXN00000342,2024-01-19 09:42:04,ACC000149,USER0250,43.5,deposit,Online Store,****3100,"Austin, TX",success,Normal withdrawal transaction,0.12,Friday,9,False
FRAUD_AMT_00020,2024-01-19 13:16:00,FRAUD_AMT_004,FRAUD_USER_046,250000.0,purchase,High-End Store,****8184,Cayman Islands,success,Unusual high-value transaction,0.91,Friday,13,False
TXN00000474,2024-01-19 20:01:09,ACC000035,USER0044,549.39,withdrawal,Gas Station,****8471,"Jacksonville, FL",success,Normal payment transaction,0.29,Friday,20,False
TXN00000336,2024-01-19 23:43:09,ACC000010,USER0045,144.79,purchase,Walmart,****3916,"Phoenix, AZ",success,Normal payment transaction,0.11,Friday,23,False
TXN00000906,2024-01-20 01:08:28,ACC000090,USER0309,13.53,withdrawal,CVS Pharmacy,****3125,"San Jose, CA",success,Normal transfer transaction,0.2,Saturday,1,True
TXN00000481,2024-01-20 08:16:08,ACC000066,USER0008,58.67,purchase,Shell Gas,****3476,"Austin, TX",success,Normal transfer transaction,0.17,Saturday,8,True
TXN00000758,2024-01-20 23:15:05,ACC000191,USER0147,16.2,payment,Pharmacy,****1175,"San Antonio, TX",success,Normal payment transaction,0.29,Saturday,23,True
TXN00000503,2024-01-21 00:00:11,ACC000073,USER0214,674.98,transfer,McDonald's,****4377,"Chicago, IL",success,Normal deposit transaction,0.2,Sunday,0,True
TXN00000917,2024-01-21 08:57:39,ACC000113,USER0093,190.89,deposit,Home Depot,****5252,"San Diego, CA",success,Normal withdrawal transaction,0.15,Sunday,8,True
TXN00000172,2024-01-21 16:28:33,ACC000016,USER0425,651.33,payment,Grocery Store,****9792,"Chicago, IL",success,Normal withdrawal transaction,0.17,Sunday,16,True
TXN00000365,2024-01-21 19:02:46,ACC000158,USER0336,196.97,payment,CVS Pharmacy,****1941,"Chicago, IL",success,Normal transfer transaction,0.19,Sunday,19,True
TXN00000194,2024-01-21 20:54:41,ACC000142,USER0244,503.41,purchase,Amazon,****3807,"Los Angeles, CA",success,Normal transfer transaction,0.27,Sunday,20,True
TXN00000209,2024-01-22 03:49:15,ACC000166,USER0314,74.23,purchase,Restaurant,****6432,"San Antonio, TX",success,Normal purchase transaction,0.1,Monday,3,False
TXN00000821,2024-01-22 04:04:17,ACC000183,USER0232,63.18,transfer,Grocery Store,****5250,"Chicago, IL",success,Normal purchase transaction,0.12,Monday,4,False
TXN00000976,2024-01-22 05:28:02,ACC000130,USER0210,43.74,withdrawal,Amazon,****6098,"Phoenix, AZ",success,Normal payment transaction,0.17,Monday,5,False
TXN00000061,2024-01-22 07:07:35,ACC000058,USER0398,832.59,payment,Restaurant,****8381,"San Diego, CA",success,Normal deposit transaction,0.27,Monday,7,False
TXN00000239,2024-01-22 09:05:32,ACC000084,USER0201,1621.51,payment,Target,****6081,"Jacksonville, FL",success,Normal transfer transaction,0.25,Monday,9,False
FRAUD_AMT_00035,2024-01-22 15:12:00,FRAUD_AMT_020,FRAUD_USER_032,315219.14,withdrawal,High-End Store,****8041,"Las Vegas, NV",success,Unusual high-value transaction,0.88,Monday,15,False
TXN00000814,2024-01-23 02:11:45,ACC000066,USER0391,578.61,transfer,McDonald's,****3031,"San Jose, CA",success,Normal transfer transaction,0.11,Tuesday,2,False
TXN00000732,2024-01-23 03:05:21,ACC000030,USER0294,3978.47,deposit,McDonald's,****6134,"San Antonio, TX",success,Normal payment transaction,0.25,Tuesday,3,False
TXN00000512,2024-01-23 13:54:33,ACC000152,USER0243,199.15,transfer,Home Depot,****1237,"Jacksonville, FL",success,Normal transfer transaction,0.25,Tuesday,13,False
TXN00000223,2024-01-23 14:55:07,ACC000151,USER0353,848.56,deposit,Gas Station,****3719,"San Jose, CA",success,Normal withdrawal transaction,0.26,Tuesday,14,False
TXN00000124,2024-01-24 07:52:28,ACC000102,USER0258,2659.59,deposit,Best Buy,****7326,"Los Angeles, CA",success,Normal deposit transaction,0.14,Wednesday,7,False
TXN00000842,2024-01-24 11:45:35,ACC000127,USER0224,96.07,payment,Restaurant,****4163,"Phoenix, AZ",success,Normal withdrawal transaction,0.14,Wednesday,11,False
TXN00000573,2024-01-24 12:53:46,ACC000129,USER0478,656.78,purchase,Home Depot,****9133,"Los Angeles, CA",success,Normal withdrawal transaction,0.22,Wednesday,12,False
TXN00000099,2024-01-24 13:06:47,ACC000151,USER0490,645.1,payment,Bank ATM,****3002,"San Antonio, TX",success,Normal deposit transaction,0.27,Wednesday,13,False
TXN00000079,2024-01-24 13:06:48,ACC000114,USER0086,175.15,deposit,Amazon,****1753,"Philadelphia, PA",success,Normal purchase transaction,0.16,Wednesday,13,False
TXN00000400,2024-01-24 21:39:21,ACC000016,USER0183,3500.53,withdrawal,Starbucks,****3061,"San Diego, CA",success,Normal withdrawal transaction,0.16,Wednesday,21,False
TXN00000868,2024-01-25 03:19:51,ACC000140,USER0132,787.85,transfer,Home Depot,****6968,"San Diego, CA",success,Normal purchase transaction,0.27,Thursday,3,False
TXN00000691,2024-01-25 12:44:02,ACC000071,USER0452,174.76,payment,CVS Pharmacy,****2093,"Jacksonville, FL",success,Normal withdrawal transaction,0.28,Thursday,12,False
TXN00000500,2024-01-25 14:39:10,ACC000030,USER0255,853.98,payment,Best Buy,****2033,"Houston, TX",success,Normal transfer transaction,0.17,Thursday,14,False
TXN00000397,2024-01-25 16:42:13,ACC000080,USER0480,137.88,deposit,Shell Gas,****1691,"Jacksonville, FL",success,Normal payment transaction,0.2,Thursday,16,False
TXN00000963,2024-01-25 17:29:21,ACC000153,USER0081,126.87,purchase,Online Store,****4703,"Philadelphia, PA",success,Normal purchase transaction,0.29,Thursday,17,False
TXN00000017,2024-01-25 21:27:22,ACC000187,USER0028,96.07,purchase,Walmart,****7596,"Jacksonville, FL",success,Normal deposit transaction,0.26,Thursday,21,False
TXN00000306,2024-01-26 08:41:14,ACC000068,USER0238,195.57,purchase,Starbucks,****3862,"New York, NY",success,Normal deposit transaction,0.17,Friday,8,False
TXN00000877,2024-01-26 08:58:19,ACC000112,USER0348,38.79,deposit,McDonald's,****4268,"Phoenix, AZ",success,Normal withdrawal transaction,0.18,Friday,8,False
TXN00000775,2024-01-26 13:11:16,ACC000025,USER0343,443.49,purchase,McDonald's,****6426,"Philadelphia, PA",success,Normal deposit transaction,0.25,Friday,13,False
TXN00000887,2024-01-26 18:31:23,ACC000179,USER0410,81.28,purchase,Supermarket,****7830,"San Antonio, TX",success,Normal withdrawal transaction,0.11,Friday,18,False
TXN00000564,2024-01-26 22:43:13,ACC000196,USER0342,103.04,deposit,Shell Gas,****5907,"Philadelphia, PA",success,Normal transfer transaction,0.14,Friday,22,False
TXN00000270,2024-01-27 02:21:10,ACC000024,USER0174,260.0,payment,Pharmacy,****1507,"San Antonio, TX",success,Normal withdrawal transaction,0.22,Saturday,2,True
TXN00000394,2024-01-27 09:17:08,ACC000039,USER0008,386.25,transfer,Grocery Store,****6601,"San Antonio, TX",success,Normal deposit transaction,0.26,Saturday,9,True
TXN00000792,2024-01-27 16:56:53,ACC000058,USER0013,5.24,withdrawal,Gas Station,****7314,"Chicago, IL",success,Normal deposit transaction,0.23,Saturday,16,True
TXN00000488,2024-01-27 21:28:22,ACC000050,USER0018,60.24,purchase,Target,****1931,"San Jose, CA",success,Normal withdrawal transaction,0.29,Saturday,21,True
TXN00000357,2024-01-28 00:12:33,ACC000039,USER0311,535.84,purchase,Shell Gas,****8796,"San Jose, CA",success,Normal payment transaction,0.11,Sunday,0,True
TXN00000018,2024-01-28 07:12:12,ACC000047,USER0143,32.34,transfer,Best Buy,****2235,"San Diego, CA",success,Normal payment transaction,0.12,Sunday,7,True
TXN00000148,2024-01-28 10:15:29,ACC000037,USER0050,92.67,purchase,CVS Pharmacy,****7293,"San Jose, CA",success,Normal transfer transaction,0.15,Sunday,10,True
TXN00000734,2024-01-28 12:00:34,ACC000076,USER0429,852.92,withdrawal,Pharmacy,****8467,"Chicago, IL",success,Normal payment transaction,0.16,Sunday,12,True
TXN00000026,2024-01-28 23:35:09,ACC000184,USER0176,122.94,withdrawal,Home Depot,****9280,"San Diego, CA",success,Normal deposit transaction,0.28,Sunday,23,True
TXN00000028,2024-01-29 02:56:44,ACC000150,USER0283,867.68,withdrawal,Gas Station,****3088,"New York, NY",success,Normal deposit transaction,0.17,Monday,2,False
TXN00000617,2024-01-29 03:50:39,ACC000027,USER0422,172.39,payment,Walmart,****9311,"Los Angeles, CA",success,Normal withdrawal transaction,0.23,Monday,3,False
TXN00000944,2024-01-29 09:26:28,ACC000030,USER0091,134.17,transfer,Bank ATM,****2860,"Philadelphia, PA",success,Normal transfer transaction,0.24,Monday,9,False
TXN00000105,2024-01-29 09:43:43,ACC000079,USER0024,107.75,withdrawal,Restaurant,****1897,"New York, NY",success,Normal withdrawal transaction,0.16,Monday,9,False
TXN00000167,2024-01-29 10:10:46,ACC000048,USER0008,55.17,deposit,CVS Pharmacy,****4164,"Chicago, IL",success,Normal payment transaction,0.27,Monday,10,False
TXN00000465,2024-01-29 11:30:29,ACC000148,USER0066,478.89,payment,Starbucks,****7646,"Jacksonville, FL",success,Normal purchase transaction,0.17,Monday,11,False
TXN00000721,2024-01-29 14:36:52,ACC000192,USER0094,44.18,withdrawal,Home Depot,****7697,"San Diego, CA",success,Normal payment transaction,0.12,Monday,14,False
TXN00000920,2024-01-29 16:04:15,ACC000175,USER0213,116.22,purchase,Gas Station,****5638,"Chicago, IL",success,Normal purchase transaction,0.17,Monday,16,False
TXN00000559,2024-01-29 18:43:31,ACC000147,USER0241,138.65,transfer,Shell Gas,****9301,"New York, NY",success,Normal transfer transaction,0.15,Monday,18,False
TXN00000393,2024-01-29 20:29:39,ACC000126,USER0097,141.59,deposit,Amazon,****3492,"New York, NY",success,Normal payment transaction,0.1,Monday,20,False
TXN00000138,2024-01-30 00:47:11,ACC000144,USER0061,80.46,deposit,Home Depot,****8311,"Houston, TX",success,Normal payment transaction,0.16,Tuesday,0,False
TXN00000484,2024-01-30 01:10:29,ACC000192,USER0486,63.77,payment,Best Buy,****7222,"Austin, TX",success,Normal transfer transaction,0.19,Tuesday,1,False
TXN00000830,2024-01-30 06:54:30,ACC000119,USER0212,835.0,transfer,Amazon,****7138,"Houston, TX",success,Normal payment transaction,0.16,Tuesday,6,False
TXN00000072,2024-01-30 14:07:41,ACC000131,USER0362,773.28,deposit,Gas Station,****8905,"San Diego, CA",success,Normal withdrawal transaction,0.19,Tuesday,14,False
