transaction_id,timestamp,user_id,account_id,amount,transaction_type,merchant,merchant_category,card_number,location,currency,status,channel,description,risk_score,fraud_indicator,ip_address,device_id,session_id,day_of_week,hour,is_weekend,is_business_hours,amount_category
TXND2FC466DD666,2024-01-01 11:25:12,USER00323,ACC717457,618.23,refund,AMC Theaters,entertainment,****2815,"Philadelphia, PA",USD,success,pos,Refund at AMC Theaters,0.153,none,249.197.213.167,DEV900234,SESED249F64,Monday,11,False,True,medium
TXNC630AAAA1ED9,2024-01-01 12:18:43,USER00254,ACC461888,203.22,purchase,Chevron,gas,****2585,"Fort Worth, TX",USD,success,pos,Purchase at Chevron,0.175,none,27.96.48.76,DEV636198,SESF51E71F8,Monday,12,False,True,medium
TXN9C52E3B6261F,2024-01-01 15:04:00,USER00413,ACC145814,558.7,refund,Netflix,entertainment,****4840,"San Diego, CA",USD,success,atm,Refund at Netflix,0.117,none,191.117.147.78,DEV239626,SES7F53F5C8,Monday,15,False,True,medium
TXN51A84A766DAA,2024-01-01 15:44:32,USER00477,ACC574001,442.5,refund,Medical Center,healthcare,****2683,"Charlotte, NC",USD,success,pos,Refund at Medical Center,0.058,none,120.167.27.186,DEV157476,SESC61508C0,Monday,15,False,True,medium
TXNACF86B61F3B5,2024-01-01 16:07:35,USER00111,ACC392136,50.88,deposit,Shell,gas,****6074,"Jacksonville, FL",USD,pending,mobile,Deposit at Shell,0.23,none,201.97.122.214,DEV855009,SESE05115CC,Monday,16,False,True,small
TXN9167009C1FAB,2024-01-01 16:49:40,USER00135,ACC618392,1789.28,payment,Pharmacy,healthcare,****6965,"Phoenix, AZ",USD,pending,pos,Payment at Pharmacy,0.114,none,17.169.248.138,DEV958835,SESE8E128BC,Monday,16,False,True,large
TXNAF9A59192F68,2024-01-01 16:57:13,USER00383,ACC586490,1890.73,withdrawal,Bank ATM,financial,****9316,"Austin, TX",USD,success,atm,Withdrawal at Bank ATM,0.154,none,211.85.14.204,DEV707928,SES36283562,Monday,16,False,True,large
TXNEC6768A5F417,2024-01-01 18:19:03,USER00161,ACC576786,1963.73,payment,Macy's,retail,****6237,"Fort Worth, TX",USD,success,pos,Payment at Macy's,0.154,none,155.152.57.28,DEV514515,SES7F474C9A,Monday,18,False,False,large
TXNC6DAD4A2B7CB,2024-01-02 05:20:15,USER00162,ACC391773,1712.2,withdrawal,Dental Office,healthcare,****3200,"Chicago, IL",USD,success,mobile,Withdrawal at Dental Office,0.143,none,92.199.79.125,DEV678469,SESE9CA03EC,Tuesday,5,False,False,large
TXN579478EBDA0C,2024-01-02 05:40:57,USER00190,ACC569945,70.66,payment,Texaco,gas,****5052,"San Jose, CA",USD,success,phone,Payment at Texaco,0.075,none,156.114.245.105,DEV222451,SES776CEF47,Tuesday,5,False,False,small
TXNC7B69D976318,2024-01-02 08:22:50,USER00190,ACC569945,28.0,purchase,Pizza Hut,restaurant,****7850,"San Jose, CA",USD,success,atm,Purchase at Pizza Hut,0.169,none,116.110.244.66,DEV914231,SES7E25B19A,Tuesday,8,False,False,small
TXN31C0C2EBC730,2024-01-02 11:35:36,USER00497,ACC720556,600.5,payment,Amazon,retail,****4636,"Austin, TX",USD,success,phone,Payment at Amazon,0.248,none,14.122.160.54,DEV982163,SES9D5012DF,Tuesday,11,False,True,medium
TXN94A3DB652111,2024-01-02 11:58:41,USER00373,ACC940247,173.98,deposit,Taco Bell,restaurant,****9297,"Jacksonville, FL",USD,success,pos,Deposit at Taco Bell,0.061,none,199.246.51.41,DEV214302,SES92482F7A,Tuesday,11,False,True,medium
TXN735F7F678876,2024-01-02 12:16:24,USER00245,ACC197736,479.32,withdrawal,Investment Firm,financial,****5947,"Charlotte, NC",USD,pending,phone,Withdrawal at Investment Firm,0.052,none,168.93.178.61,DEV165142,SES96CCFC31,Tuesday,12,False,True,medium
TXN5A9C6389B766,2024-01-02 12:36:26,USER00262,ACC178463,514.71,transfer,Exxon,gas,****9189,"Austin, TX",USD,success,phone,Transfer at Exxon,0.243,none,38.102.13.163,DEV258263,SESC3AC3A28,Tuesday,12,False,True,medium
TXNF5775615AAA3,2024-01-02 12:43:58,USER00301,ACC213609,456.13,transfer,Disney+,entertainment,****2914,"New York, NY",USD,success,phone,Transfer at Disney+,0.171,none,164.123.148.227,DEV986718,SES7B23459A,Tuesday,12,False,True,medium
TXN6D557F8D972A,2024-01-02 12:51:34,USER00219,ACC545790,290.83,transfer,Amazon,retail,****8731,"San Diego, CA",USD,success,online,Transfer at Amazon,0.178,none,196.213.58.143,DEV849757,SES73B617A5,Tuesday,12,False,True,medium
TXNB1C2DDC54035,2024-01-02 12:57:58,USER00466,ACC170499,49.45,transfer,Walmart,grocery,****7134,"Jacksonville, FL",USD,pending,phone,Transfer at Walmart,0.113,none,44.246.147.255,DEV550908,SES9A3CEC56,Tuesday,12,False,True,small
TXN25E81156F64B,2024-01-02 13:31:53,USER00340,ACC972176,174.94,purchase,Credit Union,financial,****4753,"Columbus, OH",USD,success,mobile,Purchase at Credit Union,0.127,none,16.236.244.206,DEV754544,SES797041CE,Tuesday,13,False,True,medium
TXN4B3FA07E0141,2024-01-02 14:20:52,USER00152,ACC600149,47.21,purchase,Medical Center,healthcare,****4197,"San Jose, CA",USD,success,atm,Purchase at Medical Center,0.217,none,182.85.96.41,DEV832043,SES99BAB5E8,Tuesday,14,False,True,small
TXN9EF3E044A399,2024-01-02 14:30:10,USER00351,ACC106402,114.98,deposit,Chevron,gas,****7456,"Fort Worth, TX",USD,success,mobile,Deposit at Chevron,0.184,none,213.119.181.63,DEV900122,SESFD3B66F3,Tuesday,14,False,True,medium
TXN082F346A4592,2024-01-02 14:39:03,USER00393,ACC208529,974.62,refund,Electric Company,utilities,****2163,"Chicago, IL",USD,pending,online,Refund at Electric Company,0.156,none,187.42.188.50,DEV360885,SESD2963904,Tuesday,14,False,True,medium
TXN07E6518F71AB,2024-01-02 15:18:11,USER00144,ACC387936,3850.28,payment,Macy's,retail,****8893,"San Jose, CA",USD,pending,atm,Payment at Macy's,0.186,none,253.204.226.47,DEV184519,SES2811352A,Tuesday,15,False,True,large
TXN60A93FE9F561,2024-01-02 15:40:11,USER00204,ACC561865,356.87,refund,Disney+,entertainment,****6347,"Los Angeles, CA",USD,success,phone,Refund at Disney+,0.155,none,137.216.136.158,DEV280128,SESDD8338EE,Tuesday,15,False,True,medium
TXND6BC205C0D3E,2024-01-02 17:18:20,USER00112,ACC772642,3557.12,withdrawal,Home Depot,retail,****1406,"Austin, TX",USD,success,phone,Withdrawal at Home Depot,0.214,none,45.7.202.119,DEV989882,SESBDA08CDF,Tuesday,17,False,True,large
TXNCD11698029DA,2024-01-02 17:49:02,USER00090,ACC385577,261.89,deposit,Chevron,gas,****6043,"San Antonio, TX",USD,success,atm,Deposit at Chevron,0.118,none,242.224.102.154,DEV213259,SESFC4D5616,Tuesday,17,False,True,medium
TXNC7F191D0DFA3,2024-01-03 07:55:39,USER00346,ACC262246,1288.39,transfer,Credit Union,financial,****9254,"Houston, TX",USD,success,pos,Transfer at Credit Union,0.069,none,150.253.32.192,DEV423406,SES1CAB8F21,Wednesday,7,False,False,large
TXN2DAF4826E1EC,2024-01-03 08:38:49,USER00333,ACC499407,934.56,refund,Home Depot,retail,****8524,"Columbus, OH",USD,success,atm,Refund at Home Depot,0.175,none,138.183.186.38,DEV351756,SES2EC92082,Wednesday,8,False,False,medium
TXNF39A70FE47B5,2024-01-03 10:19:45,USER00166,ACC309044,82.77,refund,Bank ATM,financial,****8705,"Phoenix, AZ",USD,success,online,Refund at Bank ATM,0.176,none,176.161.47.223,DEV634778,SES4AFC5594,Wednesday,10,False,True,small
TXNDC1C9B5DEF3F,2024-01-03 10:57:48,USER00052,ACC716886,77.54,payment,Credit Union,financial,****3839,"San Diego, CA",USD,success,mobile,Payment at Credit Union,0.202,none,123.84.78.231,DEV992994,SESC66CE492,Wednesday,10,False,True,small
TXN212433634274,2024-01-03 11:09:56,USER00389,ACC972097,981.17,purchase,Hulu,entertainment,****2316,"Chicago, IL",USD,success,pos,Purchase at Hulu,0.127,none,173.87.59.73,DEV611585,SES570EC746,Wednesday,11,False,True,medium
TXNBAAA9C1DA8F2,2024-01-03 11:47:47,USER00461,ACC274739,196.86,deposit,Subway,restaurant,****7126,"Charlotte, NC",USD,success,mobile,Deposit at Subway,0.169,none,150.24.241.238,DEV263798,SESBA8A42C4,Wednesday,11,False,True,medium
TXN50895BC10C46,2024-01-03 12:09:22,USER00040,ACC632342,116.88,payment,Gas Company,utilities,****7855,"San Jose, CA",USD,success,phone,Payment at Gas Company,0.213,none,90.54.244.160,DEV652838,SESF87F19C1,Wednesday,12,False,True,medium
TXNE5469B2E2400,2024-01-03 12:43:28,USER00461,ACC274739,435.33,withdrawal,Insurance Company,financial,****3341,"Charlotte, NC",USD,success,mobile,Withdrawal at Insurance Company,0.164,none,173.130.226.143,DEV622169,SESD7838B7D,Wednesday,12,False,True,medium
TXN5293B212006C,2024-01-03 14:40:07,USER00269,ACC827712,813.31,purchase,Macy's,retail,****6532,"Los Angeles, CA",USD,pending,pos,Purchase at Macy's,0.191,none,6.121.237.43,DEV685222,SESD3BA631F,Wednesday,14,False,True,medium
TXN7700518D0C3C,2024-01-03 15:23:03,USER00076,ACC723939,114.42,payment,Walmart,grocery,****5356,"San Diego, CA",USD,pending,phone,Payment at Walmart,0.052,none,226.208.36.82,DEV355512,SES9A17FD4D,Wednesday,15,False,True,medium
TXN8741B4B7E105,2024-01-03 15:35:50,USER00224,ACC385470,3001.81,payment,Amazon,retail,****3369,"Chicago, IL",USD,success,atm,Payment at Amazon,0.053,none,230.118.240.38,DEV623706,SES15E11EE0,Wednesday,15,False,True,large
TXNA36B8394C1F6,2024-01-03 16:23:10,USER00179,ACC869440,762.13,payment,Electric Company,utilities,****9709,"San Francisco, CA",USD,success,atm,Payment at Electric Company,0.108,none,33.198.49.88,DEV806352,SESEB7DA393,Wednesday,16,False,True,medium
TXNB0E32B6677F7,2024-01-03 16:53:48,USER00008,ACC832052,227.17,refund,Safeway,grocery,****5029,"Dallas, TX",USD,success,phone,Refund at Safeway,0.205,none,136.162.132.193,DEV868789,SESE155E131,Wednesday,16,False,True,medium
TXN0C066053258B,2024-01-03 17:38:34,USER00385,ACC171603,3494.13,withdrawal,Amazon,retail,****4659,"San Jose, CA",USD,success,mobile,Withdrawal at Amazon,0.115,none,16.46.195.125,DEV435584,SESA6CD635A,Wednesday,17,False,True,large
TXN9339E39AFACD,2024-01-04 03:03:31,USER00162,ACC391773,1356.25,transfer,Credit Union,financial,****2200,"Chicago, IL",USD,success,atm,Transfer at Credit Union,0.062,none,108.23.194.148,DEV898800,SES743681E2,Thursday,3,False,False,large
TXN370D091C0142,2024-01-04 09:02:54,USER00170,ACC915573,66.91,refund,Mobil,gas,****7493,"Houston, TX",USD,success,mobile,Refund at Mobil,0.151,none,132.232.18.216,DEV545628,SESA0C1D88E,Thursday,9,False,True,small
TXNCA2C81A28220,2024-01-04 10:28:48,USER00335,ACC550961,1146.76,purchase,Medical Center,healthcare,****8096,"Columbus, OH",USD,success,mobile,Purchase at Medical Center,0.248,none,213.79.26.75,DEV595619,SES2D1A7592,Thursday,10,False,True,large
TXN6F7C57DAA70D,2024-01-04 10:55:18,USER00318,ACC714867,841.19,payment,Best Buy,retail,****8151,"Austin, TX",USD,success,pos,Payment at Best Buy,0.076,none,191.57.250.152,DEV369756,SES6EACE785,Thursday,10,False,True,medium
TXNF6685DFC524C,2024-01-04 11:46:23,USER00345,ACC468727,385.78,purchase,Nike,retail,****2972,"San Antonio, TX",USD,pending,atm,Purchase at Nike,0.068,none,7.92.192.24,DEV961633,SES42D4615C,Thursday,11,False,True,medium
TXN3CA10F101DB7,2024-01-04 13:05:44,USER00015,ACC705397,455.18,transfer,Electric Company,utilities,****9796,"Chicago, IL",USD,success,online,Transfer at Electric Company,0.23,none,234.122.142.65,DEV287715,SESF79A0223,Thursday,13,False,True,medium
TXN59E9FDAA55F5,2024-01-04 14:24:13,USER00008,ACC832052,2768.66,transfer,Amazon,retail,****5562,"Dallas, TX",USD,pending,atm,Transfer at Amazon,0.059,none,227.56.106.78,DEV904829,SES7E4116CC,Thursday,14,False,True,large
TXNAEA8482D2BF6,2024-01-04 14:48:47,USER00026,ACC169403,880.41,payment,Apple Store,retail,****4016,"Austin, TX",USD,pending,online,Payment at Apple Store,0.221,none,164.241.226.145,DEV737640,SES421C9221,Thursday,14,False,True,medium
TXN33D1F19D7AE5,2024-01-04 15:30:50,USER00146,ACC666390,52.72,payment,Mobil,gas,****5967,"Phoenix, AZ",USD,success,mobile,Payment at Mobil,0.09,none,222.71.215.123,DEV509568,SES99363C6F,Thursday,15,False,True,small
TXN3BB79A947954,2024-01-04 15:33:50,USER00223,ACC591465,386.7,deposit,Medical Center,healthcare,****2913,"Fort Worth, TX",USD,success,atm,Deposit at Medical Center,0.219,none,112.188.202.55,DEV935194,SES9A686034,Thursday,15,False,True,medium
TXN6D0E25694FB8,2024-01-04 17:06:30,USER00390,ACC744883,1479.74,payment,Medical Center,healthcare,****3094,"Los Angeles, CA",USD,success,online,Payment at Medical Center,0.085,none,153.226.242.92,DEV565660,SESDCCFEEE2,Thursday,17,False,True,large
TXN907F09C2FE0F,2024-01-05 09:53:34,USER00284,ACC387813,212.55,withdrawal,Hulu,entertainment,****6874,"Los Angeles, CA",USD,pending,online,Withdrawal at Hulu,0.204,none,1.143.225.139,DEV700974,SESA0FC4A42,Friday,9,False,True,medium
TXN2CB0FB5B3D7C,2024-01-05 11:45:46,USER00296,ACC247594,260.58,deposit,Pharmacy,healthcare,****2904,"Fort Worth, TX",USD,success,pos,Deposit at Pharmacy,0.227,none,248.102.102.186,DEV123579,SESEAEB9788,Friday,11,False,True,medium
TXN1A7A848F9990,2024-01-05 12:23:35,USER00121,ACC631756,61.45,transfer,McDonald's,restaurant,****6723,"Columbus, OH",USD,success,pos,Transfer at McDonald's,0.109,none,37.214.219.142,DEV541531,SESB59AB0C8,Friday,12,False,True,small
TXNC837EF34D698,2024-01-05 14:02:21,USER00495,ACC765905,605.51,purchase,Electric Company,utilities,****4468,"San Jose, CA",USD,pending,mobile,Purchase at Electric Company,0.238,none,223.224.138.39,DEV877048,SES122ECEC1,Friday,14,False,True,medium
TXNA898F67923D8,2024-01-05 14:07:03,USER00084,ACC630458,227.58,deposit,Investment Firm,financial,****7144,"Jacksonville, FL",USD,pending,online,Deposit at Investment Firm,0.176,none,166.83.102.46,DEV442475,SES406D7BF8,Friday,14,False,True,medium
TXNC5B2849E7F6D,2024-01-05 14:33:41,USER00189,ACC824156,527.33,payment,BP,gas,****4812,"San Francisco, CA",USD,success,online,Payment at BP,0.196,none,148.181.48.128,DEV543351,SES675D7ABC,Friday,14,False,True,medium
TXN2638687D571F,2024-01-05 16:27:36,USER00119,ACC173372,298.58,deposit,BP,gas,****7834,"Austin, TX",USD,success,online,Deposit at BP,0.149,none,241.166.89.115,DEV831396,SES67683C14,Friday,16,False,True,medium
TXN6A76F4A7A6B7,2024-01-05 17:07:47,USER00131,ACC805477,807.56,refund,Credit Union,financial,****7438,"San Antonio, TX",USD,success,online,Refund at Credit Union,0.133,none,181.77.81.151,DEV859268,SES917D6FFD,Friday,17,False,True,medium
TXN66617D5B29A4,2024-01-05 20:53:33,USER00239,ACC296694,1012.3,deposit,Gas Company,utilities,****1072,"San Francisco, CA",USD,success,pos,Deposit at Gas Company,0.085,none,4.106.49.90,DEV537443,SESA7A9530F,Friday,20,False,False,large
TXN7F6F86DABFA0,2024-01-06 01:15:17,USER00460,ACC421384,556.06,withdrawal,Investment Firm,financial,****3532,"Columbus, OH",USD,success,mobile,Withdrawal at Investment Firm,0.211,none,121.76.8.249,DEV951986,SES17A1C38B,Saturday,1,True,False,medium
TXN95A447D48CE5,2024-01-06 01:15:53,USER00150,ACC535970,173.81,withdrawal,Kroger,grocery,****1305,"Columbus, OH",USD,pending,mobile,Withdrawal at Kroger,0.243,none,38.73.205.119,DEV943397,SES4AE9A5F9,Saturday,1,True,False,medium
TXN38D2B22C13C5,2024-01-06 02:49:09,USER00447,ACC950916,189.53,refund,Taco Bell,restaurant,****6705,"Charlotte, NC",USD,success,online,Refund at Taco Bell,0.111,none,123.71.168.223,DEV870621,SES623926B6,Saturday,2,True,False,medium
TXN508E9B2CF751,2024-01-06 07:57:05,USER00421,ACC398910,43.14,purchase,Mobil,gas,****1351,"Dallas, TX",USD,success,atm,Purchase at Mobil,0.1,none,137.83.88.134,DEV622350,SESF1395470,Saturday,7,True,False,small
TXN6CDEAB2787C7,2024-01-06 09:20:16,USER00410,ACC794083,154.02,purchase,BP,gas,****7151,"Phoenix, AZ",USD,success,online,Purchase at BP,0.159,none,230.251.24.87,DEV722886,SES4692FBB0,Saturday,9,True,True,medium
TXN5C9A5E42B6CE,2024-01-06 10:52:02,USER00137,ACC329471,280.19,purchase,Netflix,entertainment,****7804,"Charlotte, NC",USD,success,online,Purchase at Netflix,0.232,none,7.59.110.99,DEV254535,SES943BECB7,Saturday,10,True,True,medium
TXNCE3AFA460542,2024-01-06 10:53:43,USER00432,ACC216587,404.54,withdrawal,Hospital,healthcare,****4444,"San Jose, CA",USD,success,mobile,Withdrawal at Hospital,0.098,none,208.96.170.44,DEV652522,SES4381665A,Saturday,10,True,True,medium
TXN268E6DC3476C,2024-01-06 11:37:44,USER00243,ACC760626,251.3,deposit,Credit Union,financial,****1325,"Philadelphia, PA",USD,success,phone,Deposit at Credit Union,0.119,none,87.253.22.227,DEV487939,SESBF7041A4,Saturday,11,True,True,medium
TXN60B49EBFA7D0,2024-01-06 12:27:05,USER00266,ACC747453,225.13,deposit,Spotify,entertainment,****8326,"San Jose, CA",USD,success,atm,Deposit at Spotify,0.191,none,122.136.152.54,DEV996546,SESDFBC9AE3,Saturday,12,True,True,medium
TXN940FAD4F8D6E,2024-01-06 12:59:03,USER00221,ACC174878,323.66,purchase,Nike,retail,****7215,"San Jose, CA",USD,success,phone,Purchase at Nike,0.146,none,100.197.97.179,DEV231320,SES1AACD408,Saturday,12,True,True,medium
TXN294C956F3305,2024-01-06 13:25:36,USER00355,ACC426775,676.32,deposit,Whole Foods,grocery,****1309,"Chicago, IL",USD,success,pos,Deposit at Whole Foods,0.114,none,39.67.220.58,DEV712763,SES4B606348,Saturday,13,True,True,medium
TXNAF6700FACA58,2024-01-06 13:44:36,USER00356,ACC155164,129.18,transfer,Texaco,gas,****4530,"Los Angeles, CA",USD,success,mobile,Transfer at Texaco,0.186,none,8.10.128.111,DEV970791,SESDB700775,Saturday,13,True,True,medium
TXN4BA577C74D5E,2024-01-06 14:23:44,USER00320,ACC390743,239.6,deposit,Credit Union,financial,****2868,"Dallas, TX",USD,success,mobile,Deposit at Credit Union,0.208,none,151.30.22.233,DEV444722,SES89EF8428,Saturday,14,True,True,medium
TXN6A9D868227AC,2024-01-06 14:28:46,USER00302,ACC749641,834.46,purchase,Dental Office,healthcare,****7859,"San Diego, CA",USD,success,atm,Purchase at Dental Office,0.201,none,217.223.6.44,DEV146761,SES7374DFCC,Saturday,14,True,True,medium
TXN414DC5546EB0,2024-01-06 15:48:24,USER00420,ACC489244,59.76,transfer,BP,gas,****3503,"Houston, TX",USD,pending,pos,Transfer at BP,0.101,none,119.79.117.73,DEV493370,SES35662483,Saturday,15,True,True,small
TXN728B711E21BE,2024-01-06 16:08:40,USER00102,ACC470858,498.26,refund,Insurance Company,financial,****8549,"Phoenix, AZ",USD,success,atm,Refund at Insurance Company,0.235,none,94.156.111.169,DEV751160,SES38D548B0,Saturday,16,True,True,medium
TXN54723B0DB6B8,2024-01-06 16:46:53,USER00460,ACC421384,254.96,payment,Hulu,entertainment,****2156,"Columbus, OH",USD,pending,mobile,Payment at Hulu,0.229,none,78.137.36.42,DEV894645,SES68871236,Saturday,16,True,True,medium
TXN567F7D75E8C0,2024-01-06 17:02:15,USER00257,ACC145767,540.94,payment,AMC Theaters,entertainment,****3572,"San Francisco, CA",USD,success,atm,Payment at AMC Theaters,0.187,none,91.161.78.61,DEV625600,SES80110922,Saturday,17,True,True,medium
TXND23D3C9D14C1,2024-01-06 17:09:18,USER00323,ACC717457,141.67,purchase,Kroger,grocery,****1971,"Philadelphia, PA",USD,success,atm,Purchase at Kroger,0.166,none,30.104.98.4,DEV648402,SESD1E21150,Saturday,17,True,True,medium
TXNAAA52EB7AC64,2024-01-06 20:55:55,USER00359,ACC534303,689.32,transfer,Walmart,grocery,****8214,"Houston, TX",USD,success,online,Transfer at Walmart,0.055,none,195.56.205.135,DEV373374,SES7C3FA2CC,Saturday,20,True,False,medium
TXN9C1EE4D85FC6,2024-01-07 02:46:32,USER00167,ACC350132,92.81,purchase,Subway,restaurant,****5912,"Houston, TX",USD,success,mobile,Purchase at Subway,0.157,none,175.212.251.99,DEV276151,SES2CC26FB0,Sunday,2,True,False,small
TXN343F09FC134C,2024-01-07 05:38:41,USER00266,ACC747453,102.39,withdrawal,Credit Union,financial,****7119,"San Jose, CA",USD,pending,atm,Withdrawal at Credit Union,0.215,none,221.169.175.55,DEV346028,SESFB5E52F2,Sunday,5,True,False,medium
TXN66753358E620,2024-01-07 08:10:13,USER00075,ACC159642,438.12,payment,Macy's,retail,****3119,"Chicago, IL",USD,success,mobile,Payment at Macy's,0.07,none,105.236.209.70,DEV845004,SES48751909,Sunday,8,True,False,medium
TXN47C3A1C57B57,2024-01-07 09:18:59,USER00293,ACC970813,111.33,transfer,Netflix,entertainment,****4877,"San Francisco, CA",USD,success,atm,Transfer at Netflix,0.11,none,3.23.142.231,DEV723214,SES7A72AF50,Sunday,9,True,True,medium
TXN7B0CDB0D43D6,2024-01-07 09:49:19,USER00254,ACC461888,485.87,withdrawal,Medical Center,healthcare,****5967,"Fort Worth, TX",USD,success,online,Withdrawal at Medical Center,0.212,none,167.40.100.11,DEV874081,SESCD0F406B,Sunday,9,True,True,medium
TXNDCE9F3ACB28A,2024-01-07 10:03:54,USER00364,ACC904624,47.09,deposit,McDonald's,restaurant,****7835,"San Jose, CA",USD,success,online,Deposit at McDonald's,0.131,none,140.9.192.247,DEV175868,SES570E38CB,Sunday,10,True,True,small
TXN4FA36FFD984D,2024-01-07 11:07:09,USER00238,ACC789606,586.84,refund,Gas Company,utilities,****6347,"Los Angeles, CA",USD,success,online,Refund at Gas Company,0.108,none,52.21.171.243,DEV657527,SES965E1672,Sunday,11,True,True,medium
TXNAED2F3E395FA,2024-01-07 11:47:43,USER00159,ACC242291,244.79,deposit,Texaco,gas,****9679,"Los Angeles, CA",USD,success,online,Deposit at Texaco,0.05,none,232.165.143.228,DEV813485,SESF9DFCF39,Sunday,11,True,True,medium
TXN761612E5D787,2024-01-07 12:00:19,USER00150,ACC535970,208.16,purchase,Hospital,healthcare,****6183,"Columbus, OH",USD,success,online,Purchase at Hospital,0.079,none,95.234.19.97,DEV599406,SESBA69C4D9,Sunday,12,True,True,medium
TXN5C515EC49489,2024-01-07 12:13:30,USER00009,ACC263032,63.52,refund,Taco Bell,restaurant,****9824,"Houston, TX",USD,success,online,Refund at Taco Bell,0.11,none,119.38.122.109,DEV122876,SES6D06796C,Sunday,12,True,True,small
TXN4944463CE8C2,2024-01-07 13:13:58,USER00059,ACC471507,388.42,deposit,Starbucks,restaurant,****9890,"Charlotte, NC",USD,pending,pos,Deposit at Starbucks,0.16,none,126.51.102.225,DEV689920,SES8D1F0F8C,Sunday,13,True,True,medium
TXN378727D5FC74,2024-01-07 13:14:13,USER00028,ACC249811,656.41,transfer,AMC Theaters,entertainment,****9605,"San Diego, CA",USD,success,online,Transfer at AMC Theaters,0.171,none,59.64.156.28,DEV842411,SESC9FC541D,Sunday,13,True,True,medium
TXNA3724BFD867A,2024-01-07 13:55:08,USER00378,ACC635280,114.87,deposit,Pharmacy,healthcare,****1228,"San Antonio, TX",USD,success,pos,Deposit at Pharmacy,0.08,none,243.48.56.25,DEV117185,SES27874056,Sunday,13,True,True,medium
TXN8DD558574025,2024-01-07 14:18:43,USER00347,ACC467121,194.71,refund,Chevron,gas,****2737,"Dallas, TX",USD,success,pos,Refund at Chevron,0.056,none,118.213.182.169,DEV603164,SESCDEFA7A9,Sunday,14,True,True,medium
TXND18A8F90F1E5,2024-01-07 15:11:28,USER00255,ACC577463,423.18,withdrawal,Netflix,entertainment,****2350,"San Diego, CA",USD,success,phone,Withdrawal at Netflix,0.153,none,165.21.202.71,DEV338804,SESE44F9BC5,Sunday,15,True,True,medium
TXN33F9F9B3FA09,2024-01-07 16:49:13,USER00436,ACC762652,153.72,deposit,BP,gas,****8271,"Phoenix, AZ",USD,success,atm,Deposit at BP,0.201,none,218.179.140.131,DEV830432,SES245B395E,Sunday,16,True,True,medium
TXN82C4C30A32D6,2024-01-07 16:58:46,USER00020,ACC802729,372.64,purchase,Electric Company,utilities,****1914,"Chicago, IL",USD,success,phone,Purchase at Electric Company,0.22,none,65.80.157.9,DEV579299,SES566D8F42,Sunday,16,True,True,medium
